DATASET,YEAR,GEOGRAPHY_CODE,SUB_ICB_LOC_CODE,SUB_ICB_LOC_NAME,INDICATOR,SEX,AGE_BAND,VALUE
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,60 to 64,16
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,65 to 69,11
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,70 to 74,11
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB002,M,75 and over,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,ALL,ALL,563
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,0 to 9,6
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,10 to 13,12
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,14 to 17,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,18 to 24,30
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,25 to 34,44
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,35 to 44,43
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,45 to 49,18
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,50 to 54,16
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,55 to 59,14
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,60 to 64,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,65 to 69,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,70 to 74,7
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,F,75 and over,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,0 to 9,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,10 to 13,22
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,14 to 17,28
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,18 to 24,61
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,25 to 34,74
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,35 to 44,41
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,45 to 49,23
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,50 to 54,26
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,55 to 59,23
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,60 to 64,17
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,65 to 69,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,70 to 74,9
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003A,M,75 and over,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,ALL,ALL,69602
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,0 to 9,3342
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,10 to 13,1429
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,14 to 17,1457
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,18 to 24,2231
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,25 to 34,3699
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,35 to 44,3818
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,45 to 49,2167
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,50 to 54,2572
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,55 to 59,2792
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,60 to 64,2652
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,65 to 69,2415
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,70 to 74,2404
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,F,75 and over,4335
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,0 to 9,3613
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,10 to 13,1556
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,14 to 17,1455
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,18 to 24,2320
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,25 to 34,3768
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,35 to 44,3741
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,45 to 49,2178
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,50 to 54,2447
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,55 to 59,2678
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,60 to 64,2559
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,65 to 69,2274
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,70 to 74,2309
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB003B,M,75 and over,3391
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,ALL,ALL,8
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,10 to 13,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,14 to 17,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,18 to 24,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,25 to 34,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,35 to 44,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,45 to 49,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,50 to 54,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,55 to 59,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,60 to 64,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,65 to 69,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,70 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,F,75 and over,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,0 to 9,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,10 to 13,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,14 to 17,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,18 to 24,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,25 to 34,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,35 to 44,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,45 to 49,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,50 to 54,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,55 to 59,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,60 to 64,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,65 to 69,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,70 to 74,2
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB004,M,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,0 to 9,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,10 to 17,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,18 to 24,15
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,25 to 34,27
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,35 to 44,29
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,45 to 54,26
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,55 to 64,22
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,65 to 74,10
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,F,75 and over,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,0 to 9,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,10 to 17,30
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,18 to 24,20
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,25 to 34,40
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,35 to 44,30
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,45 to 54,36
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,55 to 64,28
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,65 to 74,17
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB006,M,75 and over,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,0 to 9,3
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,10 to 17,4
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,18 to 24,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,25 to 34,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,35 to 44,5
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,45 to 54,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,55 to 64,1
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,65 to 74,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,F,75 and over,0
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2019-20,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB009,M,0 to 9,3
